     4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      5.000 10190      0.965      0.138      1.476      0.238      0.924      0.160      1.114      0.174      0.962      0.201      1.371      0.241      1.155      0.206
     3.000      2.000      2.000      3.000      4.000      3.000      3.000      3.000      4.000      5.000      4.000      3.000      4.000      3.000      3.000      2.000      2.000      3.000      3.000      3.000      4.000      2.000      2.000      3.000      2.000      3.000      2.000      2.000      3.000      3.000      3.000      2.000      3.000      1.000      2.000      3.000      2.000      3.000      3.000      4.000      4.000      4.000      2.000      4.000      4.000      3.000      3.000      3.000      4.000      3.000      3.000 10310      0.091      0.138      0.241      0.238     -1.070      0.160     -1.219      0.174     -1.094      0.201      0.232      0.241     -1.157      0.206
     2.000      2.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      3.000      3.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000          *      5.000      4.000      4.000      5.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000 10441     -0.318      0.138     -0.260      0.238     -0.475      0.160     -0.349      0.174      0.179      0.206     -0.875      0.241     -0.217      0.207
     2.000      3.000      2.000      3.000      2.000      3.000      3.000      3.000      4.000      2.000      4.000      2.000      3.000      2.000      3.000      4.000      3.000      3.000      4.000      3.000      4.000      5.000      3.000      4.000      3.000      3.000      3.000      4.000      4.000      4.000      3.000      3.000      4.000          *      2.000      3.000      4.000      3.000      4.000      2.000      1.000      2.000      2.000      2.000      3.000      2.000      3.000      3.000      4.000      4.000      5.000 10994     -0.293      0.138     -0.336      0.238     -0.368      0.160     -0.365      0.174     -0.371      0.209     -0.815      0.241     -0.417      0.207
     2.000      2.000      4.000      3.000      2.000      2.000      2.000      2.000      2.000      3.000      3.000      2.000      3.000      3.000      3.000      4.000      3.000      3.000      3.000      3.000      3.000      4.000      5.000      4.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      3.000      2.000      2.000      2.000      1.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      3.000 11035     -0.519      0.138     -0.688      0.238     -0.311      0.160     -0.261      0.174     -0.081      0.201     -1.093      0.241     -0.276      0.206
     5.000      5.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 11280      0.986      0.138      1.493      0.238      0.877      0.160      0.990      0.174      0.931      0.201      1.629      0.241      1.098      0.206
     4.000      5.000      3.000      5.000      4.000      1.000      2.000      1.000      5.000      1.000      5.000      1.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      2.000      5.000      4.000      5.000      5.000      4.000      4.000      4.000      4.000      3.000      4.000      5.000      5.000      5.000      5.000      5.000 11316      0.161      0.138      0.068      0.238      0.744      0.160      0.773      0.174      0.645      0.201      0.548      0.241      0.867      0.206
     5.000      4.000      5.000      5.000      5.000      5.000      4.000      5.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      1.000      1.000      4.000      4.000      4.000      5.000      4.000      5.000      4.000      5.000      5.000      5.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 11413      0.865      0.138      1.118      0.238      0.537      0.160      0.720      0.174      0.184      0.201      1.164      0.241      0.752      0.206
     5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 11547      0.972      0.138      1.384      0.238      0.867      0.160      1.042      0.174      0.921      0.201      1.606      0.241      1.120      0.206
     3.000      4.000      2.000      5.000      5.000      4.000      4.000      5.000      5.000      2.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 11824      0.670      0.138      0.871      0.238      0.914      0.160      0.951      0.174      0.818      0.201      1.469      0.241      1.036      0.206
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      2.000      1.000      5.000      5.000      4.000      4.000      4.000      4.000      5.000      3.000      4.000      3.000      5.000      4.000      5.000      4.000      4.000      4.000      5.000      4.000      3.000      4.000      4.000      4.000      5.000      4.000      3.000      4.000      2.000      2.000      1.000      2.000      1.000      1.000      2.000      5.000      5.000      5.000      4.000      5.000 12671     -1.123      0.138     -1.814      0.238      0.336      0.160      0.240      0.174      0.312      0.201     -1.538      0.241      0.347      0.206
     3.000      4.000      2.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 13023      0.739      0.138      1.062      0.238      0.949      0.160      1.027      0.174      0.980      0.201      1.486      0.241      1.100      0.206
     1.000      2.000      2.000      2.000      2.000      1.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      5.000      4.000 13042     -0.753      0.138     -1.119      0.238      0.065      0.160     -0.016      0.174      0.192      0.201     -1.044      0.241      0.026      0.206
     2.000      2.000      2.000      2.000      1.000      2.000      2.000      2.000      2.000      1.000      1.000      1.000      2.000      5.000      5.000      4.000      5.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      5.000      5.000      4.000      4.000      2.000      2.000      1.000      1.000      2.000      1.000      2.000      5.000      5.000      4.000      5.000      5.000 13532     -0.885      0.138     -1.355      0.238      0.363      0.160      0.303      0.174      0.496      0.201     -1.397      0.241      0.456      0.206
     1.000      4.000      1.000      3.000      2.000      1.000      4.000      4.000      3.000      3.000      1.000      3.000      4.000      5.000      3.000      4.000      3.000      2.000      4.000      2.000      3.000      5.000      3.000      2.000      3.000      4.000      5.000      3.000      3.000      4.000      4.000          *      1.000      2.000      3.000      3.000      2.000      2.000      2.000      5.000      4.000      4.000      3.000      3.000      4.000      1.000      2.000      4.000      5.000      4.000      4.000 13618     -0.133      0.138     -0.320      0.238     -0.437      0.160     -0.646      0.174     -0.898      0.206      0.114      0.241     -0.631      0.207
     5.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      3.000      2.000      4.000      4.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      5.000      5.000      5.000      5.000      5.000 13763     -0.163      0.138     -0.173      0.238      0.372      0.160      0.756      0.174      0.837      0.201     -1.363      0.241      0.870      0.206
     5.000      3.000      4.000      5.000      5.000      5.000      5.000      3.000      4.000      5.000      3.000      4.000      5.000      3.000      3.000      2.000      2.000      1.000      1.000      3.000      2.000      2.000      1.000      2.000      3.000      3.000      1.000      2.000      2.000      2.000      2.000      2.000      1.000      2.000      3.000      2.000      1.000      1.000      2.000      5.000      4.000      4.000      4.000      5.000      5.000      4.000      2.000      1.000      2.000      1.000      3.000 14086      0.635      0.138      1.002      0.238     -1.736      0.160     -1.833      0.174     -1.868      0.201      1.091      0.241     -2.048      0.206
     3.000      2.000      1.000      5.000      2.000      1.000      5.000      2.000      2.000      2.000      3.000      1.000      3.000      4.000      2.000      1.000      5.000      4.000      5.000      4.000      1.000      3.000      4.000      4.000      5.000      1.000      3.000      4.000      5.000      4.000      5.000      2.000      4.000      5.000      2.000      4.000      4.000      4.000      5.000      2.000      1.000      1.000      3.000      2.000      4.000      2.000      5.000      4.000      5.000      2.000      4.000 14230     -0.376      0.138     -0.549      0.238     -0.313      0.160     -0.285      0.174      0.014      0.201     -0.674      0.241     -0.160      0.206
     2.000      3.000      3.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      3.000      3.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000      4.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000 14961      0.762      0.138      1.020      0.238      0.896      0.160      0.986      0.174      0.721      0.201      1.384      0.241      1.031      0.206
     2.000      5.000      3.000      2.000      5.000      1.000      2.000      5.000      3.000      1.000      2.000      2.000      5.000      4.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000      5.000      3.000      5.000      5.000      5.000      3.000      5.000      3.000      1.000      1.000      5.000      4.000      2.000      2.000      5.000      5.000      5.000      5.000      5.000 15110     -0.128      0.138     -0.260      0.238      0.755      0.160      0.835      0.174      0.629      0.201     -0.330      0.241      0.852      0.206
     1.000      4.000      4.000      5.000      5.000      4.000      4.000      3.000      4.000      4.000      3.000      3.000      2.000      5.000      1.000      5.000      5.000      4.000      5.000      5.000      4.000      5.000      5.000      4.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      5.000      4.000      5.000      5.000      5.000      4.000      4.000 15183      0.438      0.138      0.508      0.238      0.674      0.160      0.717      0.174      0.694      0.201      1.072      0.241      0.783      0.206
