     5.000      5.000      5.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      5.000      5.000      5.000      4.000      1.000      1.000      1.000      1.000      2.000      1.000      5.000      5.000      4.000      4.000      4.000      4.000      5.000      3.000      4.000      3.000      5.000      4.000      5.000      4.000      4.000      3.000      4.000      5.000      4.000      2.000      4.000      3.000      4.000      4.000      4.000      1.000      5.000      4.000      3.000      4.000      2.000      2.000      1.000      2.000      1.000      1.000      2.000      4.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000 12671     -2.612      0.359      0.094      0.350      0.691      0.344     -0.546      0.467      0.495      0.337     -1.224      0.278      0.696      0.456
     4.000      1.000      1.000      3.000      4.000      2.000      4.000      4.000      5.000      5.000      3.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      2.000      5.000      5.000      5.000      5.000      5.000          *      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 13023      1.401      0.363      0.991      0.353      1.574      0.347      0.136      0.474      1.420      0.337      1.140      0.279      0.534      0.459
     4.000      4.000      4.000      1.000      2.000      2.000      2.000      2.000      1.000      2.000      4.000      4.000      4.000      4.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      4.000      2.000      4.000      4.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000      2.000      4.000      4.000      4.000      4.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000 13042     -1.231      0.359     -0.377      0.350      0.429      0.344     -0.747      0.467      0.421      0.337     -0.956      0.278     -0.007      0.456
     5.000      4.000      4.000      2.000      2.000      2.000      2.000      1.000      2.000      2.000      4.000      4.000      5.000      4.000      2.000      2.000      1.000      1.000      1.000      2.000      5.000      5.000      4.000      5.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      2.000      4.000      4.000      2.000      2.000      4.000      4.000      5.000      4.000      4.000      2.000      5.000      5.000      4.000      4.000      2.000      2.000      1.000      1.000      2.000      1.000      2.000      4.000      4.000      5.000      5.000      5.000      4.000      5.000      5.000 13532     -1.498      0.359     -0.292      0.350      0.892      0.344     -0.799      0.467      0.874      0.337     -1.291      0.278      0.640      0.456
     3.000      3.000      2.000      1.000      4.000      1.000      3.000      2.000      1.000      4.000      3.000      2.000      3.000      2.000      4.000      3.000      3.000      1.000      3.000      4.000      5.000      3.000      4.000      3.000      2.000      4.000      2.000      3.000      5.000      3.000      2.000      3.000      4.000      5.000      3.000      1.000      3.000      4.000      4.000      3.000      4.000          *      1.000      2.000      3.000      3.000      3.000      2.000      2.000      2.000      5.000      4.000      4.000      3.000      3.000      4.000      1.000          *      1.000      5.000      2.000      4.000      5.000      4.000      4.000 13618      0.536      0.362     -0.897      0.352     -0.322      0.345     -0.738      0.479     -1.379      0.349      0.088      0.283     -0.276      0.476
     4.000      4.000      2.000      5.000      5.000      4.000      4.000      4.000      4.000      4.000      2.000      4.000      2.000      2.000      4.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      3.000      2.000      4.000      4.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      1.000      5.000      4.000      2.000      1.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 13763      0.214      0.359     -0.888      0.350      0.086      0.344      0.592      0.467      1.563      0.337     -1.653      0.278      1.831      0.456
     2.000      2.000      2.000      5.000      3.000      4.000      5.000      5.000      5.000      5.000      2.000      2.000      1.000      2.000      3.000      4.000      5.000      3.000      4.000      5.000      3.000      3.000      2.000      2.000      1.000      1.000      3.000      2.000      2.000      1.000      2.000      3.000      3.000      1.000      2.000      5.000      2.000      2.000      5.000      3.000      2.000      2.000      1.000      2.000      3.000      4.000      2.000      1.000      1.000      2.000      5.000      4.000      4.000      4.000      5.000      5.000      4.000      2.000      1.000      1.000      2.000      1.000      2.000      1.000      3.000 14086      1.402      0.359     -1.409      0.350     -3.018      0.344      0.590      0.467     -2.585      0.337      1.463      0.278     -2.562      0.456
     4.000      1.000      5.000      3.000      2.000      1.000      5.000      2.000      1.000      5.000      4.000      5.000      2.000      4.000      2.000      2.000      2.000      3.000      1.000      3.000      4.000      2.000      1.000      5.000      4.000      5.000      4.000      1.000      3.000      4.000      4.000      5.000      1.000      3.000      4.000      2.000      5.000      4.000      1.000      5.000      5.000      2.000      4.000      5.000      2.000      3.000      4.000      4.000      4.000      5.000      2.000      1.000      1.000      3.000      2.000      4.000      2.000      4.000      4.000      5.000      5.000      4.000      5.000      2.000      4.000 14230     -0.706      0.359     -0.217      0.350     -0.990      0.344     -0.531      0.467      0.571      0.337     -0.377      0.278      0.544      0.456
     5.000      3.000      3.000      2.000      3.000      3.000      5.000      5.000      5.000      5.000      3.000      4.000      4.000      3.000      4.000      5.000      5.000      5.000      3.000      3.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000      4.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000 14961      0.892      0.359      0.909      0.350      0.981      0.344      1.176      0.467      0.748      0.337      1.200      0.278      0.952      0.456
     5.000      2.000      3.000      2.000      5.000      3.000      2.000      5.000      1.000      2.000      5.000      1.000      4.000      2.000      5.000      3.000      1.000      2.000      2.000      5.000      4.000      5.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      4.000      4.000      5.000      3.000      5.000      2.000      5.000      5.000      3.000      5.000      3.000      1.000      1.000      5.000      4.000      2.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 15110     -0.013      0.359      0.120      0.350      1.193      0.344     -0.106      0.467      0.369      0.337     -0.395      0.278      2.109      0.456
