10190	5	1	1	5	5	5	5	5	5	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5
10310	3	2	2	3	3	4	2	3	2	3	2	3	3	3	3	3	3	3	4	3	2	3	3	3	3	2	2	1	3	2	4	3	3	4	3	3	3	3	2	3	4	3	2	2	5	3	3	3	4	3	3	2	4	4	3	4	4	2	4	3	2	2	3	4	4
10441	5	3	2	3	2	2	3	4	3	4	2	4	4	3	4	4	3	4	2	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	2	4	4	2	2	4	3	3	3	3	4	3	4	4	4	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4
10994	5	4	4	3	4	3	3	4	3	4	3	3	4	3	3	2	2	3	4	4	3	3	3	3	3	4	3	5	5	4	4	3	4	3	4	4	3	4	2	2	4	4	4	3	4	1	5	3	4	5	2	2	3	2	3	3	2	2	4	4	3	4	5	4	4
11035	4	4	4	2	2	2	2	2	2	2	4	4	4	4	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	2	4	4	2	1	5	4	4	4	4	2	4	3	4	4	1	2	2	2	2	3	3	3	3	3	2	3	3	3	3
11280	1	3	3	1	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
11316	3	2	2	2	4	2	5	5	5	5	2	3	4	4	5	4	2	2	2	4	3	4	4	4	5	4	5	4	4	2	5	5	4	5	5	2	5	5	5	5	4	5	4	4	4	1	4	4	4	4	2	5	4	4	4	4	4	4	4	3	4	5	4	4	5
11413	2	4	4	4	4	5	4	5	5	5	4	4	5	5	5	4	4	4	4	5	5	5	5	5	5	5	4	3	5	5	5	5	4	4	3	3	5	5	4	4	4	4	4	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	4	4
11547	3	1	4	5	5	5	5	5	5	5	5	4	5	1	5	5	5	5	2	5	1	1	4	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	1	5	5	5	5	1	5	4	5	5	4	4	4	4	4	5	5	4	4	5
11824	2	2	3	4	4	3	4	4	4	4	4	5	5	3	5	5	4	5	4	5	5	5	4	5	5	5	5	5	5	4	5	5	5	4	4	5	5	4	5	4	4	4	5	5	5	4	5	5	5	5	4	1	1	1	5	1	5	5	5	5	4	5	5	5	5
12671	5	5	4	2	1	3	2	2	1	3	4	4	4	4	3	2	2	4	5	2	5	3	4	3	5	4	5	3	3	5	5	5	4	4	4	2	5	5	1	1	1	4	3	5	5	1	5	5	5	4	2	1	1	3	2	1	2	3	2	4	4	4	4	4	4
