     5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      5.000      5.000      5.000      5.000 10190      1.883      0.246     -0.184      0.521      1.288      0.573      0.150      0.639     -1.002      0.663      0.162      0.550      0.569      0.409     -0.619      0.659
     3.000      3.000      4.000      2.000      3.000      2.000      3.000      3.000      3.000      3.000      3.000      4.000      3.000      2.000      3.000      3.000      3.000      3.000      2.000      2.000      1.000      3.000      2.000      4.000      3.000      3.000      4.000      3.000      3.000      3.000      4.000      3.000      2.000      2.000      5.000      3.000      3.000      4.000      3.000      3.000      2.000      4.000      4.000      3.000      4.000      4.000      2.000      2.000      3.000      4.000      4.000 10310     -1.246      0.246     -1.024      0.521      0.649      0.573     -1.223      0.639      0.600      0.663     -0.071      0.550      1.057      0.409      0.129      0.659
     3.000      2.000      2.000      3.000      4.000      3.000      4.000      4.000      4.000      3.000      4.000      2.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      4.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000 10441     -0.093      0.246      0.370      0.521      0.341      0.573      0.240      0.639      0.525      0.663     -0.688      0.550     -1.005      0.409      0.332      0.659
     3.000      4.000      3.000      3.000      4.000      3.000      4.000      3.000      2.000      2.000      3.000      4.000      4.000      3.000      3.000      3.000      3.000      3.000      4.000      3.000      5.000      5.000      4.000      4.000      3.000      4.000      3.000      4.000      3.000      4.000      4.000      4.000      4.000      3.000      4.000      5.000      3.000      4.000      5.000      2.000      2.000      3.000      2.000      3.000      3.000      2.000      3.000      4.000      5.000      4.000      4.000 10994     -0.095      0.246      0.498      0.521     -0.045      0.573     -0.618      0.639      0.265      0.663      0.246      0.550     -0.532      0.409     -0.178      0.659
     2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      1.000      2.000      2.000      2.000      2.000      3.000      3.000      2.000      3.000      3.000      3.000      3.000 11035     -0.378      0.246     -0.778      0.521     -0.802      0.573      0.472      0.639      0.306      0.663      0.449      0.550     -0.342      0.409     -0.814      0.659
     1.000      5.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000 11280      1.692      0.246      0.409      0.521      0.414      0.573      0.466      0.639      0.275      0.663     -0.274      0.550      1.151      0.409     -0.037      0.659
     2.000      4.000      2.000      5.000      5.000      5.000      5.000      5.000      4.000      2.000      2.000      2.000      4.000      3.000      4.000      4.000      4.000      5.000      4.000      5.000      4.000      4.000      2.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      4.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      2.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      4.000      5.000 11316      0.771      0.246      1.339      0.521     -0.749      0.573     -0.377      0.639      1.055      0.663      0.098      0.550      0.284      0.409      0.196      0.659
     4.000      4.000      5.000      4.000      5.000      5.000      5.000      5.000      4.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      3.000      5.000      5.000      5.000      5.000      4.000      4.000      3.000      5.000      5.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      4.000      4.000 11413      1.150      0.246      0.168      0.521      0.805      0.573      0.472      0.639     -0.137      0.663      0.647      0.550      1.322      0.409     -0.128      0.659
     5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      2.000      5.000      1.000      1.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      1.000      5.000      4.000      5.000      5.000      4.000      4.000      5.000      5.000      4.000      4.000      5.000 11547      1.543      0.246      0.951      0.521      0.794      0.573     -1.361      0.639     -0.246      0.663      0.820      0.550      0.187      0.409     -0.456      0.659
     4.000      4.000      3.000      4.000      4.000      4.000      4.000      5.000      5.000      4.000      5.000      4.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      5.000      4.000      4.000      5.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      1.000      1.000      1.000      5.000      1.000      5.000      4.000      5.000      5.000      5.000      5.000 11824      1.226      0.246      0.212      0.521      1.887      0.573      0.288      0.639     -0.230      0.663      0.715      0.550     -1.343      0.409      0.129      0.659
